TILEMAP
36 28 							-- Size of tile map in tiles
32 32 							-- Tile size & block size
images/tile1.png 	-- Tilesheet
2 1 							-- Number of tiles in tilesheet
111111111111111111111111111111111111
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
11                                11
111111111111111111111111111111111111

