TILEMAP
18 28 							-- Size of tile map in tiles
32 32 							-- Tile size & block size
images/tilesheet.png 	-- Tilesheet
4 8 							-- Number of tiles in tilesheet
aaaaaaaaaaaaaaaaaa
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
a                a
aaaaaaa    aaaaaaa
